Houzz Link,Name,Company Website,Description,Address,Phone,Review,Latest Review Date,Latest Review Content,Total Review,Facebook Link,Houzz Awards
https://www.houzz.com/professionals/general-contractors/jenkins-enterprises-pfvwus-pf~1512663986,Jenkins Enterprises,www.jenkinsenterprisesonline.com/,"Jenkins Enterprises is a family owned business that has been serving the tri-county area since 2006. No job is too small.  Whether it be cleaning your gutters, cutting your grass, or remodeling your kitchen,  Jenkins Enterprises is the company you can rely on.
Read More","Mechanicsville, Maryland 20659
United States",(301) 321-7928,,,,0,,1 Houzz Badge
https://www.houzz.com/professionals/general-contractors/beverly-thomas-llc-pfvwus-pf~1166124713,Beverly Thomas LLC,tombijak.houzz.com,"Design and remodeling company that primarily serves the Alexandria/Arlington/Fairfax market with a focus on kitchen/bath/basement and other interior renovations.  Small to mid-size additions are within our scope and capabilities.  Handyman services are offered to provide a full line of home improvement services to our customer base.

Owners - Beverly Brunetti: Architect
Owners - Thomas Bijak: General Contractor
Read More","105 East Uhler Avenue
Alexandria, Virginia 22301
United States",,5.0,"July 20, 2023","Beverly Thomas created the most exquisite living space in our 1928 Arts and Crafts home-- we were most definitely a ""diamond in the rough"" when Tom Bijak and Beverly Brunetti took on our project. The bones of the house are wonderful; it was all the other stuff that was in desperate need of updating. And what we have now is a gem, all due to Beverly's gorgeous, historically respectful design and Tom's amazingly efficient, organized and thorough workmanship. Design notes: we needed a renovation that echoed the original vintage design of the house-- without having a fussy look. From knocking down a wall, replacing 95-year-old plumbing to creating an archway that looked like it was part of original home to adding tiny elements such as a recessed shelf in the new arch, Beverly Thomas built everything just perfectly. The sub crews were phenomenal-- true artisans who are real masters of their crafts. I received almost daily photos and summaries of the day's work, with projections for the next day's work. A very important point here: at no point did I have any surprise big expenses.. At every point in the project Tom worked carefully to stay on budget, which he did. It was absolutely my lucky day when I met this wonderful team.",12,,9 Houzz Awards
https://www.houzz.com/professionals/general-contractors/john-krause-construction-pfvwus-pf~722894814,John Krause Construction,www.johnkrauseconstruction.com/,"John Krause is a lifelong resident of Maryland with more than 30 years’ experience. John Krause Construction, Inc. is an unparalleled team of professionals dedicated to the mission of custom home design and building. Together the John Krause team creates a superlative custom homebuilding and home remodeling improvement experience tailored to the needs, wants and dreams of each client.

We are passionate about our client relationships and this is reflected in all that we do. From the in-house design process, interior and exterior customization and artisanal craftsmanship to the professional management and accurate fixed pricing, our aim is your total satisfaction with your new home, architectural restoration or home remodeling project.

We would love to discuss designing and building your extraordinary new home or remodeling it.
Read More","Lusby, Maryland 20657
United States",(443) 856-2782,4.6,"March 20, 2023",Thank you to John Krause Construction for a job well done! Very professional and I recommend this local business for any project.,43,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL2pvaG5rcmF1c2Vjb25zdHJ1Y3Rpb24yMDE1/c2302a09ae2557aadff6efef5d941ff6/ue/MjQxNzYxMzg/3c338a782b8856fa0091b6319128c131,6 Houzz Awards
https://www.houzz.com/professionals/kitchen-and-bath-remodelers/integrity-home-pro-pfvwus-pf~1476651103,Integrity Home Pro,www.IntegrityHomePro.com,"Integrity Home Pro is committed to adding value to its customers’ homes—through such diverse services as roofing, siding, windows, kitchen & bathroom remodeling, sunrooms, other additions, and beyond. Ultimately, we want to transform your house into the home of your dreams, and to add significant value in the process.

Danny Peterson has been involved in the remodeling industry for over 20 years. Earlier in his life, he was a senior merchant for a huge home improvement company. He would do multi-million dollar deals on a handshake, because people knew if Danny said it, they could count on it. Then Danny became a salesman in the home improvement industry, and what he saw made him extremely disheartened. He felt that companies treated customers as dollar signs instead of people, and they would compromise the value of their work in pursuit of profit. Danny promised that when he opened his own company, he would treat every customer with the respect they deserved, and would always go the extra mile to get the job done right. 

Integrity Home Pro is the result of Danny’s belief in Christian principles and integrity. He has experienced amazing success because of his convictions, and he looks forward to the future growth of his company!
Read More","Bowie, Maryland 20715
United States",,5.0,4 days ago,"Integrity Pro did a phenomenal job! The team converted my outdated cooking space,  which had stucco walls, dark and dated cabinets, and cracked tiled floors into my dream kitchen.  Not only am I satisfied with the outcome of the kitchen, I'm equally impressed and appreciative of the team's attention to detail, timely and respectful responsiveness to every question and concern,  and overall technical skills.  I highly recommend this company and send a well-deserved thank you and shout out to Mike (PM), Rodrigo and Carlos. Great team and great job!",12,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL0Rhbm55UGV0ZXJzb24uSW50ZWdyaXR5SG9tZVBybw/cf4338ff0cbe829c70e65598b2169265/ue/MjcyNzQ3NQ/450ff0dc0be107b9af3fc621a8c50c82,6 Houzz Awards
https://www.houzz.com/professionals/cabinets-and-cabinetry/southern-maryland-kitchen-bath-floors-and-design-pfvwus-pf~1199981536,"Southern Maryland Kitchen, Bath, Floors, & Design",www.somdkitchenbathfloors.com,"*Authorized Dealer of Yorktowne Cabinetry*

A family of professionals looking to create “more than beautiful” kitchens, bathrooms, and spaces; Southern Maryland Kitchen, Bath, Floors & Design is a family owned and operated kitchen and bath, hardwood, carpet, and floor covering design and remodel company. With everything in one showroom, we make it easy for our busy clients to make their dream space come alive. Schedule a complimentary design consultation today!
Read More","23415 Three Notch Rd #2030
California, Maryland 20619
United States",(301) 259-3271,,"March 25, 2020","Anthony and his crew have been professional throughout the project.  
Anthony made numerous great recommendations and was never pushy if we didn't like the idea.  
Occasionally he recommended against certain design recommendations (and I learned the hard way when I didn't agree with him;  his idea was the right one.)   The work crew was very professional and when things were not completed to our perfection then Anthony sent the crew out to complete it to our satisfaction.  They were accomodating to our personal schedule.  We will be having them do our three bathrooms in the near future.",12,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL2tpdGNoZW5iYXRoZmxvb3Jz/4c9364aeeb2f7ef4a282c5c47b53631a/ue/NzU0NjM2NA/7ba2401ff64523ba1ef685b04c22de8b,1 Houzz Award
https://www.houzz.com/professionals/design-build-firms/marks-woods-construction-services-llc-pfvwus-pf~185302954,"Marks-Woods Construction Services, LLC",www.markswoods.com,"NOW OFFERING VIRTUAL INITIAL CONSULTATIONS! 

All you need is a phone with video chat (such as FaceTime) or a laptop or tablet with internet access and we will “meet you in your home.""  To schedule your virtual consultation, go to WWW.MARKSWOODS.COM/CONTACT and fill out the form. 

WELCOME
Marks-Woods Construction is a full-service general contractor dedicated to creating a highly collaborative, intentionally communicative, top quality client experience. We specialize in residential projects and offer a wide variety of services to fit the specific needs of each client. Marks-Woods is proud of the reputation it has built over the years for creating beautiful homes and happy customers. 

Note: For immediate assistance, please visit www.markswoods.com/contact and fill out the Contact Us form today! 

OUR STORY
Marks-Woods Construction was born in 2001 when Byron Woods and Greg Marks cast the vision for a construction company that would offer expertise, an enjoyable customer experience, and a stunning end result. The founders met while working for one of the premier top 20 national construction companies. The two men joined years of experience and a common commitment to excellence in construction to create Marks-Woods Construction. Years later, Drew Marks joined Byron and Greg in ownership of the company, and Marks-Woods Construction became complete. The company first focused on a combination of residential and commercial projects, but eventually found its true niche as a design-build firm dedicated to making the vision and desires of homeowners a reality. Marks-Woods Construction is now the top choice for major additions, kitchen renovations, interior design, and a variety of other major residential construction services. With hundreds of projects completed, Marks-Woods continues to grow and hopes to expand to more geographical areas in future years.

Ready to discuss your project with the Marks-Woods team? We'd love to chat. For immediate assistance, please visit www.markswoods.com/contact and fill out the Contact Us form today!
Read More","205 S Union Street
Alexandria, Virginia 22314
United States",,,"August 5, 2022Last modified:August 5, 2022","My husband and I worked with Marks-Woods in 2020. They completed a large interior renovation that included creating an open concept kitchen/living/dining room area and building a new powder room on the first floor and updating our primary bath on the second floor. We were super impressed with Greg when we met with him for our proposal meeting. The design manager kept us in the loop during the entire pre-design process and the project manager was always available to answer questions when they arose during construction. We had a slight delay due to a tile we loved being discontinued, but they were quick to select alternatives that we actually ended up liking even better. They did a great job and I am recommending them to all my friends and neighbors.",12,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL01XQ29uc3RydWN0aW9uU2VydmljZXMv/cedb96f783d8bded887ab85133bfd3ef/ue/MTA1NDM0NTA/ff2c636f2842ea45083f65e695d3a0a8,7 Houzz Awards
https://www.houzz.com/professionals/building-designers-and-drafters/bim-works-llc-pfvwus-pf~1103577227,"BIM Works, LLC",www.bimwrx.com,"We specialize in common sense design that balances aesthetics and livability.

BIM WORKS offers commercial and residential drafting and design services. We utilize all the latest and greatest technology in producing BIM (Building Information Modeling) work. Building Information Modeling is a method of constructing a building virtually in 3D to reduce conflicts and errors in real world construction. These BIM models also coordinate design intent between all project architectural and engineering consultants reducing errors and omissions due to conflicts and miscommunication. BIM models when combined with architectural rendering software can produce amazing 3D images to effectively communicate design ideas and intents to clients.
Read More","Mechanicsville, Maryland 20659
United States",,5.0,"July 1, 2022",We are in the midst of working with Gerald Buckler to design a house overlooking a river. He has been very easy to work with and very thorough. He has handled my design changes and questions like a champ and explains everything he is doing. He has also helped with getting all the permits we need. Would highly recommend!,2,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL0JJTVdvcmtzTExD/d0a0a3ac5b3c833fcd683061bbb2dfcf/ue/NzM2MDE5MTk/c22774fd8883a181a242f5fcc2273388,1 Houzz Award
https://www.houzz.com/professionals/kitchen-and-bath-remodelers/solid-kitchen-and-bath-pfvwus-pf~344478489,Solid Kitchen & Bath,www.solidkb.com,"Solid Kitchen & Bath offers full kitchen remodeling, bathroom remodeling, and major home renovation.

Over the past 10+ years the Solid Kitchen & Bath has evolved to be known for, and come to pride itself on a passion for providing a high level of customer service, customization, attention to detail and spectacular results at an excellent value.

Our custom designs are both beautiful and functional, making the best use of your space and featuring top quality materials. Our team of experts offers a full-service, hands-on approach, from concept to completion, to ensure that no detail is overlooked. Take the stress out of remodeling with Solid Kitchen & Bath.
Read More","303 Cameron St. # 1
Alexandria, Virginia 22314
United States",,5.0,"September 6, 2023",Fantastic work! The whole process was extremely well managed and the final product looks great. We definitely recommend and will be using for future projects.,55,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL1NvbGlkS2l0Y2hlbkJhdGg/ac22b6443fe263c1448c3188d2afe96c/ue/OTU3OTA5Mw/6ebd15d4f21fffff38f79495bf659a28,9 Houzz Awards
https://www.houzz.com/professionals/general-contractors/corso-construction-llc-pfvwus-pf~1891928287,Corso Construction LLC,corsobuilds.com,"Corso Construction is committed to excellence in every aspect of our business. We uphold a standard of integrity bound by fairness, honesty, and personal responsibility. Our distinction is the quality of service we bring to our customers. Accurate knowledge of our trade combined with ability is what makes us true professionals. Above all, we are watchful of our customers interests and make their concerns the basis of our business.
Read More","Leonardtown, Maryland 20650
United States",(240) 222-1910,4.5,"February 20, 2023","We are homeowners who have used Corso Construction for multiple years now. They have helped us with various projects from small repairs to larger issues, including damage related to the 2021 fall Chesapeake Bay flood. Their team has always been professional, reliable and communicates effectively. They are easy to work with and we recommend them without hesitation.",8,,1 Houzz Award
https://www.houzz.com/professionals/general-contractors/credlevision-properties-llc-pfvwus-pf~1480992319,"CredleVision Properties, LLC",CredleVisionProperties.com,"We are rebuilding communities across the country.  We take pride in the quality of work performed on each construction project.  We believe in conducting business with honesty, integrity & the highest level of service possible.
Read More","5113 Alfred Dr
Waldorf, Maryland 20601
United States",(301) 450-6053,,,,0,,1 Houzz Badge
